station_id,rain,name_th,name_en,province,lat,long
1,710.55,แม่ฮ่องสอน,MAE HONG SON,แม่ฮ่องสอน,19.29897222,97.97577778
2,645,แม่สะเรียง,MAE SARIANG,แม่ฮ่องสอน,18.16666667,97.93333333
3,729.86,เชียงราย,CHIANG RAI,เชียงราย,19.96138889,99.88138889
4,519.65,เชียงราย สกษ.,CHAING RAI AGROMET.,เชียงราย,19.87083333,99.78277778
5,489.51,พะเยา,PHAYAO,พะเยา,19.13333333,99.9
6,756.7,ดอยอ่างขาง,DOI ANG KANG,เชียงใหม่,19.93138889,99.04833333
7,796.88,เชียงใหม่,CHIANG MAI,เชียงใหม่,18.77111111,98.9725
8,908.2,ลำปาง,LAMPANG,ลำปาง,18.28333333,99.51666667
9,502.58,เถิน,THOEN,ลำปาง,17.63661111,99.24475
10,581.74,ลำปาง สกษ.,LAMPANG AGROMET.,ลำปาง,18.31666667,99.28333333
11,714.63,ลำพูน,LAMPHUN,ลำพูน,18.56666667,99.03333333
12,621.4,แพร่,PHRAE,แพร่,18.16666667,100.1666667
13,778.63,น่าน,NAN,น่าน,18.77972222,100.7777778
14,706.42,น่าน สกษ.,NAN AGROMET.,น่าน,18.86666667,100.75
15,817.97,ท่าวังผา,THA WANGPHA,น่าน,19.11055556,100.8025
16,1035.52,ทุ่งช้าง,THUNG CHANG,น่าน,19.41194444,100.8835278
17,574.51,อุตรดิตถ์,UTTARADIT,อุตรดิตถ์,17.61666667,100.1
18,1029.5,หนองคาย,NONG KHAI,หนองคาย,17.86511111,102.7472778
19,418.77,เลย,LOEI,เลย,17.45,101.7333333
20,429.53,เลย สกษ.,LOEI AGROMET.,เลย,17.4,101.7333333
21,853.49,อุดรธานี,UDON THANI,อุดรธานี,17.38333333,102.8
22,813.86,สกลนคร,SAKON NAKHON,สกลนคร,17.15,104.1333333
23,889.42,สกลนคร สกษ.,SAKON NAKHON AGROMET.,สกลนคร,17.12502778,104.061
24,1404,นครพนม,NAKHON PHANOM,นครพนม,17.41083333,104.7825
25,1277.14,นครพนม สกษ.,NAKHON PHANOM AGROMET.,นครพนม,17.44305556,104.7736111
26,700.65,หนองบัวลำภู,NONG BUA LAM PHU,หนองบัวลำภู,17.2325,102.4294444
27,460.61,สุโขทัย,SUKHOTHAI*,สุโขทัย,17.10611111,99.8
28,578,ศรีสำโรง สกษ.,SI SAMRONG AGROMET.,สุโขทัย,17.16136111,99.86166667
29,551.82,ตาก,TAK,ตาก,16.87833333,99.14333333
30,1094.3,แม่สอด,MAE SOT,ตาก,16.65916667,98.55083333
31,530.31,เขื่อนภูมิพล,BHUMIBOL DAM,ตาก,17.24388889,99.0025
32,793.95,ดอยมูเซอ สกษ.,DOI MU SOE AGROMET.,ตาก,16.75,98.93333333
33,844.7,อุ้มผาง,UMPHANG,ตาก,16.02472222,98.86444444
34,641.59,พิษณุโลก,PHITSANULOK,พิษณุโลก,16.79480556,100.2793056
35,524.5,เพชรบูรณ์,PHETCHABUN,เพชรบูรณ์,16.43333333,101.15
36,459.01,หล่มสัก,LOM SAK,เพชรบูรณ์,16.77361111,101.2494444
37,776.38,วิเชียรบุรี,WICHIAN BURI,เพชรบูรณ์,15.657,101.108
38,643.5,กำแพงเพชร,KAMPHAENG PHET,กำแพงเพชร,16.48680556,99.52697222
39,676.48,ขอนแก่น,KHON KAEN,ขอนแก่น,16.46111111,102.7897222
40,614.12,ท่าพระ สกษ.,THA PHRA AGROMET.,ขอนแก่น,16.33333333,102.8166667
41,1233.8,มุกดาหาร,MUKDAHAN,มุกดาหาร,16.54138889,104.7288889
42,650.18,พิจิตร สกษ.,PICHIT AGROMET.,พิจิตร,16.33877778,100.3671111
43,931.12,มหาสารคาม,MAHASARAKHAM,มหาสารคาม,16.24722222,103.0680556
44,1026.03,กาฬสินธุ์,KALASIN,กาฬสินธุ์,16.33202778,103.5875278
45,563.84,นครสวรรค์ ,NAKHON SAWAN,นครสวรรค์,15.67183333,100.1323611
46,661.62,ตากฟ้า สกษ.,TAKFA AGROMET.,นครสวรรค์,15.34944444,100.5302778
47,413.32,ชัยนาท สกษ.,CHAINAT AGROMET.,ชัยนาท,15.15,100.1833333
48,441.38,ชัยภูมิ,CHAIYAPHUM,ชัยภูมิ,15.8,102.0333333
49,1225.45,ร้อยเอ็ด,ROI ET,ร้อยเอ็ด,16.02,103.7438889
50,1360.36,ร้อยเอ็ด สกษ.,ROI ET AGROMET.,ร้อยเอ็ด,16.07322222,103.6084444
51,1176.31,อุบลราชธานี สกษ.,UBON RATCHATHANI AGROMET.,อุบลราชธานี,15.23913889,105.0235
52,1227.18,อุบลราชธานี (ศูนย์ฯ),UBON RATCHATHANI,อุบลราชธานี,15.25,104.8666667
53,743.58,ศรีสะเกษ,SI SAKET AGROMET.,ศรีสะเกษ,15,104.05
54,303.81,พระนครศรีอยุธยา,AYUTTHAYA,พระนครศรีอยุธยา,14.53472222,100.725
55,469.65,ปทุมธานี สกษ.,PATHUMTHANI,ปทุมธานี,14.1,100.6166667
56,585.85,ฉะเชิงเทรา,CHACHOENGSAO,ฉะเชิงเทรา,13.51555556,101.4583333
57,574.61,ราชบุรี,RATCHA BURI,ราชบุรี,13.48930556,99.79238889
58,287.6,สุพรรณบุรี,SUPHAN BURI,สุพรรณบุรี,14.47444444,100.1388889
59,269.39,อู่ทอง สกษ.,U THONG AGROMET.,สุพรรณบุรี,14.30361111,99.86472222
60,589.98,ลพบุรี,LOP BURI,ลพบุรี,14.79972222,100.6283333
61,676.81,บัวชุม  ,BUA CHUM,ลพบุรี,15.26666667,101.1873611
62,441.48,นำร่อง,PILOT STATION,สมุทรปราการ,13.37722222,100.5994444
63,677.45,สมุทรปราการ สกษ.,Samut Prakarn,สมุทรปราการ,13.51666667,100.7616667
64,629.82,สนามบินสุวรรณภูมิ,SUVARNABHUMI AIRPORT,สมุทรปราการ,13.68638889,100.7675
65,818.36,ปราจีนบุรี,PRACHIN BURI,ปราจีนบุรี,14.05841667,101.3693056
66,888.91,กบินทร์บุรี,KABIN BURI,ปราจีนบุรี,13.98333333,101.7072222
67,455.57,นครราชสีมา,NAKHON RATCHASIMA,นครราชสีมา,14.96830556,102.0860278
68,541.16,ปากช่อง สกษ.,PAKCHONG AGROMET.,นครราชสีมา,14.64388889,101.3319444
69,428.44,โชคชัย,CHOK CHAI,นครราชสีมา,14.71888889,102.1686111
70,851.05,สุรินทร์,SURIN,สุรินทร์,14.88333333,103.5
71,981.62,สุรินทร์ สกษ.,SURIN AGROMET.,สุรินทร์,14.88333333,103.45
72,819.4,ท่าตูม,THA TUM,สุรินทร์,15.31666667,103.6833333
73,644.13,บุรีรัมย์,BURIRUM,บุรีรัมย์,15.22575,103.2480833
74,539.24,นางรอง,NANG RONG,บุรีรัมย์,14.58333333,102.8
